"Relative Time (Process)","PPO_HopperEnv_sweep_8 - _step","PPO_HopperEnv_sweep_8 - _step__MIN","PPO_HopperEnv_sweep_8 - _step__MAX","PPO_HopperEnv_sweep_8 - rewards/time","PPO_HopperEnv_sweep_8 - rewards/time__MIN","PPO_HopperEnv_sweep_8 - rewards/time__MAX","PPO_HopperEnv_sweep_9 - _step","PPO_HopperEnv_sweep_9 - _step__MIN","PPO_HopperEnv_sweep_9 - _step__MAX","PPO_HopperEnv_sweep_9 - rewards/time","PPO_HopperEnv_sweep_9 - rewards/time__MIN","PPO_HopperEnv_sweep_9 - rewards/time__MAX","PPO_HopperEnv_sweep_7 - _step","PPO_HopperEnv_sweep_7 - _step__MIN","PPO_HopperEnv_sweep_7 - _step__MAX","PPO_HopperEnv_sweep_7 - rewards/time","PPO_HopperEnv_sweep_7 - rewards/time__MIN","PPO_HopperEnv_sweep_7 - rewards/time__MAX","PPO_HopperEnv_sweep_6 - _step","PPO_HopperEnv_sweep_6 - _step__MIN","PPO_HopperEnv_sweep_6 - _step__MAX","PPO_HopperEnv_sweep_6 - rewards/time","PPO_HopperEnv_sweep_6 - rewards/time__MIN","PPO_HopperEnv_sweep_6 - rewards/time__MAX","PPO_HopperEnv_sweep_4 - _step","PPO_HopperEnv_sweep_4 - _step__MIN","PPO_HopperEnv_sweep_4 - _step__MAX","PPO_HopperEnv_sweep_4 - rewards/time","PPO_HopperEnv_sweep_4 - rewards/time__MIN","PPO_HopperEnv_sweep_4 - rewards/time__MAX","PPO_HopperEnv_sweep_5 - _step","PPO_HopperEnv_sweep_5 - _step__MIN","PPO_HopperEnv_sweep_5 - _step__MAX","PPO_HopperEnv_sweep_5 - rewards/time","PPO_HopperEnv_sweep_5 - rewards/time__MIN","PPO_HopperEnv_sweep_5 - rewards/time__MAX","PPO_HopperEnv_sweep_3 - _step","PPO_HopperEnv_sweep_3 - _step__MIN","PPO_HopperEnv_sweep_3 - _step__MAX","PPO_HopperEnv_sweep_3 - rewards/time","PPO_HopperEnv_sweep_3 - rewards/time__MIN","PPO_HopperEnv_sweep_3 - rewards/time__MAX","PPO_HopperEnv_sweep_0 - _step","PPO_HopperEnv_sweep_0 - _step__MIN","PPO_HopperEnv_sweep_0 - _step__MAX","PPO_HopperEnv_sweep_0 - rewards/time","PPO_HopperEnv_sweep_0 - rewards/time__MIN","PPO_HopperEnv_sweep_0 - rewards/time__MAX","PPO_HopperEnv_sweep_2 - _step","PPO_HopperEnv_sweep_2 - _step__MIN","PPO_HopperEnv_sweep_2 - _step__MAX","PPO_HopperEnv_sweep_2 - rewards/time","PPO_HopperEnv_sweep_2 - rewards/time__MIN","PPO_HopperEnv_sweep_2 - rewards/time__MAX","PPO_HopperEnv_sweep_1 - _step","PPO_HopperEnv_sweep_1 - _step__MIN","PPO_HopperEnv_sweep_1 - _step__MAX","PPO_HopperEnv_sweep_1 - rewards/time","PPO_HopperEnv_sweep_1 - rewards/time__MIN","PPO_HopperEnv_sweep_1 - rewards/time__MAX"
"178","173","173","173","4049.126220703125","4049.126220703125","4049.126220703125","","","","","","","","","","","","","176","176","176","4475.70751953125","4475.70751953125","4475.70751953125","185","185","185","4504.044921875","4504.044921875","4504.044921875","","","","","","","182","182","182","3815.08251953125","3815.08251953125","3815.08251953125","182","182","182","4182.05224609375","4182.05224609375","4182.05224609375","182","182","182","3928.818603515625","3928.818603515625","3928.818603515625","182","182","182","3928.818603515625","3928.818603515625","3928.818603515625"
"179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182","182","182","4318.82080078125","4318.82080078125","4318.82080078125","","","","","","","","","","","","","","","","","","","","","","","",""
"180","","","","","","","","","","","","","182","182","182","3997.944091796875","3997.944091796875","3997.944091796875","","","","","","","","","","","","","","","","","","","","","","","","","185","185","185","4214.91015625","4214.91015625","4214.91015625","","","","","","","","","","","",""
"181","176","176","176","4072.53369140625","4072.53369140625","4072.53369140625","167","167","167","4041.107421875","4041.107421875","4041.107421875","","","","","","","179","179","179","4530.07568359375","4530.07568359375","4530.07568359375","188","188","188","4541.5185546875","4541.5185546875","4541.5185546875","185","185","185","4329.3291015625","4329.3291015625","4329.3291015625","185","185","185","3819.57373046875","3819.57373046875","3819.57373046875","","","","","","","185","185","185","3907.61767578125","3907.61767578125","3907.61767578125","185","185","185","3907.61767578125","3907.61767578125","3907.61767578125"
"182","","","","","","","","","","","","","185","185","185","4057.271728515625","4057.271728515625","4057.271728515625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"183","","","","","","","","","","","","","","","","","","","","","","","","","191","191","191","4625.62353515625","4625.62353515625","4625.62353515625","","","","","","","","","","","","","188","188","188","4203.16015625","4203.16015625","4203.16015625","188","188","188","3946.759521484375","3946.759521484375","3946.759521484375","","","","","",""
"184","179","179","179","4075.82080078125","4075.82080078125","4075.82080078125","170","170","170","4025.1396484375","4025.1396484375","4025.1396484375","","","","","","","182","182","182","4487.81787109375","4487.81787109375","4487.81787109375","","","","","","","188","188","188","4395.6318359375","4395.6318359375","4395.6318359375","188","188","188","3834.756103515625","3834.756103515625","3834.756103515625","","","","","","","","","","","","","188","188","188","3946.759521484375","3946.759521484375","3946.759521484375"
"185","","","","","","","","","","","","","188","188","188","4089.91796875","4089.91796875","4089.91796875","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"186","","","","","","","","","","","","","","","","","","","","","","","","","194","194","194","4596.2919921875","4596.2919921875","4596.2919921875","","","","","","","","","","","","","191","191","191","4199.43603515625","4199.43603515625","4199.43603515625","191","191","191","3946.86083984375","3946.86083984375","3946.86083984375","191","191","191","3946.86083984375","3946.86083984375","3946.86083984375"
"187","182","182","182","4072.747314453125","4072.747314453125","4072.747314453125","173","173","173","4049.126220703125","4049.126220703125","4049.126220703125","","","","","","","185","185","185","4504.044921875","4504.044921875","4504.044921875","","","","","","","191","191","191","4410.02880859375","4410.02880859375","4410.02880859375","191","191","191","3844.36083984375","3844.36083984375","3844.36083984375","","","","","","","","","","","","","","","","","",""
"188","","","","","","","","","","","","","191","191","191","4067.857177734375","4067.857177734375","4067.857177734375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"189","185","185","185","4127.54345703125","4127.54345703125","4127.54345703125","176","176","176","4072.53369140625","4072.53369140625","4072.53369140625","","","","","","","","","","","","","197","197","197","4502.728515625","4502.728515625","4502.728515625","","","","","","","194","194","194","3846.046142578125","3846.046142578125","3846.046142578125","194","194","194","4195.9375","4195.9375","4195.9375","194","194","194","3952.852294921875","3952.852294921875","3952.852294921875","194","194","194","3952.852294921875","3952.852294921875","3952.852294921875"
"190","","","","","","","","","","","","","","","","","","","188","188","188","4541.5185546875","4541.5185546875","4541.5185546875","","","","","","","194","194","194","4498.25439453125","4498.25439453125","4498.25439453125","","","","","","","","","","","","","","","","","","","","","","","",""
"191","","","","","","","","","","","","","194","194","194","4110.88232421875","4110.88232421875","4110.88232421875","","","","","","","200","200","200","4628.51513671875","4628.51513671875","4628.51513671875","","","","","","","","","","","","","197","197","197","4177.52783203125","4177.52783203125","4177.52783203125","197","197","197","3908.197509765625","3908.197509765625","3908.197509765625","","","","","",""
"192","188","188","188","4148.6572265625","4148.6572265625","4148.6572265625","179","179","179","4075.82080078125","4075.82080078125","4075.82080078125","","","","","","","191","191","191","4625.62353515625","4625.62353515625","4625.62353515625","","","","","","","197","197","197","4491.0048828125","4491.0048828125","4491.0048828125","197","197","197","3853.03173828125","3853.03173828125","3853.03173828125","","","","","","","","","","","","","197","197","197","3908.197509765625","3908.197509765625","3908.197509765625"
"193","","","","","","","","","","","","","197","197","197","4122.7646484375","4122.7646484375","4122.7646484375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"194","","","","","","","","","","","","","","","","","","","","","","","","","203","203","203","4642.22509765625","4642.22509765625","4642.22509765625","","","","","","","","","","","","","200","200","200","4209.21875","4209.21875","4209.21875","200","200","200","3916.07861328125","3916.07861328125","3916.07861328125","200","200","200","3916.07861328125","3916.07861328125","3916.07861328125"
"195","191","191","191","4141.38720703125","4141.38720703125","4141.38720703125","182","182","182","4072.747314453125","4072.747314453125","4072.747314453125","","","","","","","194","194","194","4596.2919921875","4596.2919921875","4596.2919921875","","","","","","","200","200","200","4518.30078125","4518.30078125","4518.30078125","200","200","200","3862.291259765625","3862.291259765625","3862.291259765625","","","","","","","","","","","","","","","","","",""
"196","","","","","","","","","","","","","200","200","200","4115.70751953125","4115.70751953125","4115.70751953125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197","","","","","","","","","","","","","","","","","","","","","","","","","206","206","206","4655.7685546875","4655.7685546875","4655.7685546875","","","","","","","203","203","203","3817.703369140625","3817.703369140625","3817.703369140625","203","203","203","4200.87939453125","4200.87939453125","4200.87939453125","203","203","203","3953.656982421875","3953.656982421875","3953.656982421875","203","203","203","3953.656982421875","3953.656982421875","3953.656982421875"
"198","194","194","194","4163.16259765625","4163.16259765625","4163.16259765625","185","185","185","4127.54345703125","4127.54345703125","4127.54345703125","","","","","","","197","197","197","4502.728515625","4502.728515625","4502.728515625","","","","","","","203","203","203","4525.59228515625","4525.59228515625","4525.59228515625","","","","","","","","","","","","","","","","","","","","","","","",""
"199","","","","","","","","","","","","","203","203","203","4093.5546875","4093.5546875","4093.5546875","","","","","","","209","209","209","4650.98974609375","4650.98974609375","4650.98974609375","","","","","","","","","","","","","206","206","206","4221.2373046875","4221.2373046875","4221.2373046875","","","","","","","","","","","",""
"200","","","","","","","188","188","188","4148.6572265625","4148.6572265625","4148.6572265625","","","","","","","","","","","","","","","","","","","","","","","","","206","206","206","3847.575439453125","3847.575439453125","3847.575439453125","","","","","","","206","206","206","3954.95703125","3954.95703125","3954.95703125","206","206","206","3954.95703125","3954.95703125","3954.95703125"
"201","197","197","197","4146.37841796875","4146.37841796875","4146.37841796875","","","","","","","","","","","","","200","200","200","4628.51513671875","4628.51513671875","4628.51513671875","","","","","","","206","206","206","4590.50634765625","4590.50634765625","4590.50634765625","","","","","","","","","","","","","","","","","","","","","","","",""
"202","","","","","","","","","","","","","206","206","206","4117.9453125","4117.9453125","4117.9453125","","","","","","","212","212","212","4666.68408203125","4666.68408203125","4666.68408203125","","","","","","","","","","","","","209","209","209","4232.115234375","4232.115234375","4232.115234375","209","209","209","3958.011474609375","3958.011474609375","3958.011474609375","","","","","",""
"203","200","200","200","4174.61767578125","4174.61767578125","4174.61767578125","191","191","191","4141.38720703125","4141.38720703125","4141.38720703125","","","","","","","","","","","","","","","","","","","209","209","209","4663.4072265625","4663.4072265625","4663.4072265625","209","209","209","3884.533447265625","3884.533447265625","3884.533447265625","","","","","","","","","","","","","209","209","209","3958.011474609375","3958.011474609375","3958.011474609375"
"204","","","","","","","","","","","","","209","209","209","4112.4716796875","4112.4716796875","4112.4716796875","203","203","203","4642.22509765625","4642.22509765625","4642.22509765625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"205","","","","","","","","","","","","","","","","","","","","","","","","","215","215","215","4667.52294921875","4667.52294921875","4667.52294921875","","","","","","","","","","","","","212","212","212","4225.9228515625","4225.9228515625","4225.9228515625","212","212","212","3970.216064453125","3970.216064453125","3970.216064453125","212","212","212","3970.216064453125","3970.216064453125","3970.216064453125"
"206","203","203","203","4188.1220703125","4188.1220703125","4188.1220703125","194","194","194","4163.16259765625","4163.16259765625","4163.16259765625","","","","","","","206","206","206","4655.7685546875","4655.7685546875","4655.7685546875","","","","","","","212","212","212","4703.8671875","4703.8671875","4703.8671875","212","212","212","3900.173095703125","3900.173095703125","3900.173095703125","","","","","","","","","","","","","","","","","",""
"207","","","","","","","","","","","","","212","212","212","4088.839599609375","4088.839599609375","4088.839599609375","","","","","","","218","218","218","4656.7265625","4656.7265625","4656.7265625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","215","215","215","3887.846435546875","3887.846435546875","3887.846435546875","215","215","215","4223.78857421875","4223.78857421875","4223.78857421875","215","215","215","4036.264404296875","4036.264404296875","4036.264404296875","215","215","215","4036.264404296875","4036.264404296875","4036.264404296875"
"209","206","206","206","4201.041015625","4201.041015625","4201.041015625","197","197","197","4146.37841796875","4146.37841796875","4146.37841796875","","","","","","","209","209","209","4650.98974609375","4650.98974609375","4650.98974609375","","","","","","","215","215","215","4702.07763671875","4702.07763671875","4702.07763671875","","","","","","","","","","","","","","","","","","","","","","","",""
"210","","","","","","","","","","","","","215","215","215","4097.45458984375","4097.45458984375","4097.45458984375","","","","","","","221","221","221","4666.0380859375","4666.0380859375","4666.0380859375","","","","","","","","","","","","","218","218","218","4239.71240234375","4239.71240234375","4239.71240234375","","","","","","","","","","","",""
"211","","","","","","","200","200","200","4174.61767578125","4174.61767578125","4174.61767578125","","","","","","","","","","","","","","","","","","","218","218","218","4669.84814453125","4669.84814453125","4669.84814453125","218","218","218","3892.822998046875","3892.822998046875","3892.822998046875","","","","","","","218","218","218","3977.9423828125","3977.9423828125","3977.9423828125","218","218","218","3977.9423828125","3977.9423828125","3977.9423828125"
"212","209","209","209","4202.1611328125","4202.1611328125","4202.1611328125","","","","","","","","","","","","","212","212","212","4666.68408203125","4666.68408203125","4666.68408203125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"213","","","","","","","","","","","","","218","218","218","4106.57763671875","4106.57763671875","4106.57763671875","","","","","","","224","224","224","4709.939453125","4709.939453125","4709.939453125","","","","","","","","","","","","","221","221","221","4271.3984375","4271.3984375","4271.3984375","221","221","221","3876.884521484375","3876.884521484375","3876.884521484375","221","221","221","3876.884521484375","3876.884521484375","3876.884521484375"
"214","212","212","212","4202.61328125","4202.61328125","4202.61328125","203","203","203","4188.1220703125","4188.1220703125","4188.1220703125","","","","","","","","","","","","","","","","","","","221","221","221","4653.908203125","4653.908203125","4653.908203125","221","221","221","3918.839599609375","3918.839599609375","3918.839599609375","","","","","","","","","","","","","","","","","",""
"215","","","","","","","","","","","","","221","221","221","4084.8115234375","4084.8115234375","4084.8115234375","215","215","215","4667.52294921875","4667.52294921875","4667.52294921875","227","227","227","4667.6962890625","4667.6962890625","4667.6962890625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"216","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224","224","224","3912.061279296875","3912.061279296875","3912.061279296875","224","224","224","4286.0703125","4286.0703125","4286.0703125","224","224","224","4008.985107421875","4008.985107421875","4008.985107421875","224","224","224","4008.985107421875","4008.985107421875","4008.985107421875"
"217","215","215","215","4194.86962890625","4194.86962890625","4194.86962890625","206","206","206","4201.041015625","4201.041015625","4201.041015625","","","","","","","","","","","","","","","","","","","224","224","224","4627.6982421875","4627.6982421875","4627.6982421875","","","","","","","","","","","","","","","","","","","","","","","",""
"218","","","","","","","","","","","","","224","224","224","4116.810546875","4116.810546875","4116.810546875","218","218","218","4656.7265625","4656.7265625","4656.7265625","230","230","230","4742.05859375","4742.05859375","4742.05859375","","","","","","","","","","","","","227","227","227","4266.78564453125","4266.78564453125","4266.78564453125","","","","","","","","","","","",""
"219","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","227","227","227","4708.52197265625","4708.52197265625","4708.52197265625","227","227","227","3952.259033203125","3952.259033203125","3952.259033203125","","","","","","","227","227","227","4107.4501953125","4107.4501953125","4107.4501953125","227","227","227","4107.4501953125","4107.4501953125","4107.4501953125"
"220","218","218","218","4244.16162109375","4244.16162109375","4244.16162109375","209","209","209","4202.1611328125","4202.1611328125","4202.1611328125","","","","","","","221","221","221","4666.0380859375","4666.0380859375","4666.0380859375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"221","","","","","","","","","","","","","227","227","227","4106.1884765625","4106.1884765625","4106.1884765625","","","","","","","233","233","233","4718.73681640625","4718.73681640625","4718.73681640625","","","","","","","","","","","","","230","230","230","4212.81591796875","4212.81591796875","4212.81591796875","230","230","230","4117.10888671875","4117.10888671875","4117.10888671875","","","","","",""
"222","","","","","","","212","212","212","4202.61328125","4202.61328125","4202.61328125","","","","","","","","","","","","","","","","","","","230","230","230","4786.564453125","4786.564453125","4786.564453125","230","230","230","3963.69580078125","3963.69580078125","3963.69580078125","","","","","","","","","","","","","230","230","230","4117.10888671875","4117.10888671875","4117.10888671875"
"223","221","221","221","4190.4580078125","4190.4580078125","4190.4580078125","","","","","","","","","","","","","224","224","224","4709.939453125","4709.939453125","4709.939453125","236","236","236","4718.67041015625","4718.67041015625","4718.67041015625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224","","","","","","","","","","","","","230","230","230","4121.33154296875","4121.33154296875","4121.33154296875","","","","","","","","","","","","","","","","","","","","","","","","","233","233","233","4249.07421875","4249.07421875","4249.07421875","233","233","233","4097.1826171875","4097.1826171875","4097.1826171875","233","233","233","4097.1826171875","4097.1826171875","4097.1826171875"
"225","224","224","224","4198.49755859375","4198.49755859375","4198.49755859375","215","215","215","4194.86962890625","4194.86962890625","4194.86962890625","","","","","","","","","","","","","","","","","","","233","233","233","4799.21435546875","4799.21435546875","4799.21435546875","233","233","233","3965.288330078125","3965.288330078125","3965.288330078125","","","","","","","","","","","","","","","","","",""
"226","","","","","","","","","","","","","233","233","233","4092.480224609375","4092.480224609375","4092.480224609375","227","227","227","4667.6962890625","4667.6962890625","4667.6962890625","239","239","239","4749.880859375","4749.880859375","4749.880859375","","","","","","","","","","","","","236","236","236","4251.806640625","4251.806640625","4251.806640625","","","","","","","","","","","",""
"227","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","236","236","236","3954.5205078125","3954.5205078125","3954.5205078125","","","","","","","236","236","236","4134.6044921875","4134.6044921875","4134.6044921875","236","236","236","4134.6044921875","4134.6044921875","4134.6044921875"
"228","227","227","227","4254.2109375","4254.2109375","4254.2109375","218","218","218","4244.16162109375","4244.16162109375","4244.16162109375","","","","","","","","","","","","","","","","","","","236","236","236","4796.78076171875","4796.78076171875","4796.78076171875","","","","","","","","","","","","","","","","","","","","","","","",""
"229","","","","","","","","","","","","","236","236","236","4129.9609375","4129.9609375","4129.9609375","230","230","230","4742.05859375","4742.05859375","4742.05859375","242","242","242","4754.93896484375","4754.93896484375","4754.93896484375","","","","","","","","","","","","","239","239","239","4198.197265625","4198.197265625","4198.197265625","","","","","","","","","","","",""
"230","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239","239","239","4800.025390625","4800.025390625","4800.025390625","239","239","239","3983.319091796875","3983.319091796875","3983.319091796875","","","","","","","239","239","239","4172.9765625","4172.9765625","4172.9765625","239","239","239","4172.9765625","4172.9765625","4172.9765625"
"231","230","230","230","4290.6806640625","4290.6806640625","4290.6806640625","221","221","221","4190.4580078125","4190.4580078125","4190.4580078125","","","","","","","","","","","","","245","245","245","4761.42041015625","4761.42041015625","4761.42041015625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"232","","","","","","","","","","","","","239","239","239","4123.19482421875","4123.19482421875","4123.19482421875","233","233","233","4718.73681640625","4718.73681640625","4718.73681640625","","","","","","","","","","","","","","","","","","","242","242","242","4242.36572265625","4242.36572265625","4242.36572265625","242","242","242","4183.06103515625","4183.06103515625","4183.06103515625","242","242","242","4183.06103515625","4183.06103515625","4183.06103515625"
"233","","","","","","","224","224","224","4198.49755859375","4198.49755859375","4198.49755859375","","","","","","","","","","","","","","","","","","","242","242","242","4768.365234375","4768.365234375","4768.365234375","242","242","242","3989.638427734375","3989.638427734375","3989.638427734375","","","","","","","","","","","","","","","","","",""
"234","233","233","233","4283.44189453125","4283.44189453125","4283.44189453125","","","","","","","","","","","","","236","236","236","4718.67041015625","4718.67041015625","4718.67041015625","248","248","248","4760.38720703125","4760.38720703125","4760.38720703125","","","","","","","","","","","","","245","245","245","4245.75732421875","4245.75732421875","4245.75732421875","","","","","","","","","","","",""
"235","","","","","","","","","","","","","242","242","242","4111.27880859375","4111.27880859375","4111.27880859375","","","","","","","","","","","","","","","","","","","245","245","245","3986.46923828125","3986.46923828125","3986.46923828125","","","","","","","245","245","245","4218.29248046875","4218.29248046875","4218.29248046875","245","245","245","4218.29248046875","4218.29248046875","4218.29248046875"
"236","236","236","236","4287.81689453125","4287.81689453125","4287.81689453125","227","227","227","4254.2109375","4254.2109375","4254.2109375","","","","","","","","","","","","","","","","","","","245","245","245","4819.6865234375","4819.6865234375","4819.6865234375","","","","","","","","","","","","","","","","","","","","","","","",""
"237","","","","","","","","","","","","","245","245","245","4137.17529296875","4137.17529296875","4137.17529296875","239","239","239","4749.880859375","4749.880859375","4749.880859375","251","251","251","4790.6787109375","4790.6787109375","4790.6787109375","","","","","","","","","","","","","248","248","248","4282.50048828125","4282.50048828125","4282.50048828125","","","","","","","","","","","",""
"238","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248","248","248","4853.87353515625","4853.87353515625","4853.87353515625","248","248","248","3991.350830078125","3991.350830078125","3991.350830078125","","","","","","","248","248","248","4235.626953125","4235.626953125","4235.626953125","248","248","248","4235.626953125","4235.626953125","4235.626953125"
"239","239","239","239","4224.7548828125","4224.7548828125","4224.7548828125","230","230","230","4290.6806640625","4290.6806640625","4290.6806640625","","","","","","","","","","","","","254","254","254","4808.13037109375","4808.13037109375","4808.13037109375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"240","","","","","","","","","","","","","248","248","248","4126.7216796875","4126.7216796875","4126.7216796875","242","242","242","4754.93896484375","4754.93896484375","4754.93896484375","","","","","","","","","","","","","","","","","","","251","251","251","4304.72998046875","4304.72998046875","4304.72998046875","","","","","","","","","","","",""
"241","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","251","251","251","4861.5078125","4861.5078125","4861.5078125","251","251","251","3995.224853515625","3995.224853515625","3995.224853515625","","","","","","","251","251","251","4265.0966796875","4265.0966796875","4265.0966796875","251","251","251","4265.0966796875","4265.0966796875","4265.0966796875"
"242","242","242","242","4275.3203125","4275.3203125","4275.3203125","233","233","233","4283.44189453125","4283.44189453125","4283.44189453125","","","","","","","","","","","","","257","257","257","4813.3369140625","4813.3369140625","4813.3369140625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"243","","","","","","","","","","","","","251","251","251","3889.783447265625","3889.783447265625","3889.783447265625","245","245","245","4761.42041015625","4761.42041015625","4761.42041015625","","","","","","","","","","","","","","","","","","","254","254","254","4272.1181640625","4272.1181640625","4272.1181640625","254","254","254","4278.2568359375","4278.2568359375","4278.2568359375","254","254","254","4278.2568359375","4278.2568359375","4278.2568359375"
"244","","","","","","","236","236","236","4287.81689453125","4287.81689453125","4287.81689453125","","","","","","","","","","","","","","","","","","","254","254","254","4889.84423828125","4889.84423828125","4889.84423828125","254","254","254","3977.182373046875","3977.182373046875","3977.182373046875","","","","","","","","","","","","","","","","","",""
"245","245","245","245","4195.2197265625","4195.2197265625","4195.2197265625","","","","","","","","","","","","","248","248","248","4760.38720703125","4760.38720703125","4760.38720703125","260","260","260","4838.56103515625","4838.56103515625","4838.56103515625","","","","","","","","","","","","","257","257","257","4317.78857421875","4317.78857421875","4317.78857421875","","","","","","","","","","","",""
"246","","","","","","","","","","","","","254","254","254","4052.6982421875","4052.6982421875","4052.6982421875","","","","","","","","","","","","","","","","","","","257","257","257","3988.443603515625","3988.443603515625","3988.443603515625","","","","","","","257","257","257","4267.57861328125","4267.57861328125","4267.57861328125","257","257","257","4267.57861328125","4267.57861328125","4267.57861328125"
"247","248","248","248","4144.53125","4144.53125","4144.53125","239","239","239","4224.7548828125","4224.7548828125","4224.7548828125","","","","","","","","","","","","","263","263","263","4847.064453125","4847.064453125","4847.064453125","257","257","257","4909.986328125","4909.986328125","4909.986328125","","","","","","","","","","","","","","","","","","","","","","","",""
"248","","","","","","","","","","","","","257","257","257","4129.20263671875","4129.20263671875","4129.20263671875","251","251","251","4790.6787109375","4790.6787109375","4790.6787109375","","","","","","","","","","","","","","","","","","","260","260","260","4288.53076171875","4288.53076171875","4288.53076171875","","","","","","","","","","","",""
"249","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","260","260","260","4920.5810546875","4920.5810546875","4920.5810546875","260","260","260","3982.975830078125","3982.975830078125","3982.975830078125","","","","","","","260","260","260","4274.2041015625","4274.2041015625","4274.2041015625","260","260","260","4274.2041015625","4274.2041015625","4274.2041015625"
"250","251","251","251","4156.8125","4156.8125","4156.8125","242","242","242","4275.3203125","4275.3203125","4275.3203125","","","","","","","","","","","","","266","266","266","4864.79052734375","4864.79052734375","4864.79052734375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"251","","","","","","","","","","","","","260","260","260","4092.36962890625","4092.36962890625","4092.36962890625","254","254","254","4808.13037109375","4808.13037109375","4808.13037109375","","","","","","","","","","","","","","","","","","","263","263","263","4317.33740234375","4317.33740234375","4317.33740234375","263","263","263","4301.03857421875","4301.03857421875","4301.03857421875","","","","","",""
"252","","","","","","","245","245","245","4195.2197265625","4195.2197265625","4195.2197265625","","","","","","","","","","","","","","","","","","","263","263","263","4919.2958984375","4919.2958984375","4919.2958984375","263","263","263","3953.59765625","3953.59765625","3953.59765625","","","","","","","","","","","","","263","263","263","4301.03857421875","4301.03857421875","4301.03857421875"
"253","254","254","254","4197.79443359375","4197.79443359375","4197.79443359375","","","","","","","","","","","","","","","","","","","269","269","269","4731.3935546875","4731.3935546875","4731.3935546875","","","","","","","","","","","","","266","266","266","4235.9951171875","4235.9951171875","4235.9951171875","","","","","","","","","","","",""
"254","","","","","","","","","","","","","263","263","263","4160.68896484375","4160.68896484375","4160.68896484375","257","257","257","4813.3369140625","4813.3369140625","4813.3369140625","","","","","","","","","","","","","266","266","266","3952.069091796875","3952.069091796875","3952.069091796875","","","","","","","266","266","266","4311.38671875","4311.38671875","4311.38671875","266","266","266","4311.38671875","4311.38671875","4311.38671875"
"255","","","","","","","248","248","248","4144.53125","4144.53125","4144.53125","","","","","","","","","","","","","272","272","272","4793.4541015625","4793.4541015625","4793.4541015625","266","266","266","4944.25732421875","4944.25732421875","4944.25732421875","","","","","","","","","","","","","","","","","","","","","","","",""
"256","257","257","257","4260.7041015625","4260.7041015625","4260.7041015625","","","","","","","266","266","266","4163.47314453125","4163.47314453125","4163.47314453125","","","","","","","","","","","","","","","","","","","","","","","","","269","269","269","4311.87939453125","4311.87939453125","4311.87939453125","","","","","","","","","","","",""
"257","","","","","","","","","","","","","","","","","","","260","260","260","4838.56103515625","4838.56103515625","4838.56103515625","","","","","","","","","","","","","269","269","269","3934.886474609375","3934.886474609375","3934.886474609375","","","","","","","269","269","269","4323.7587890625","4323.7587890625","4323.7587890625","269","269","269","4323.7587890625","4323.7587890625","4323.7587890625"
"258","260","260","260","4262.939453125","4262.939453125","4262.939453125","251","251","251","4156.8125","4156.8125","4156.8125","","","","","","","","","","","","","275","275","275","4794.23486328125","4794.23486328125","4794.23486328125","269","269","269","4953.1259765625","4953.1259765625","4953.1259765625","","","","","","","","","","","","","","","","","","","","","","","",""
"259","","","","","","","","","","","","","269","269","269","4117.74951171875","4117.74951171875","4117.74951171875","","","","","","","","","","","","","","","","","","","","","","","","","272","272","272","4283.10400390625","4283.10400390625","4283.10400390625","","","","","","","","","","","",""
"260","","","","","","","","","","","","","","","","","","","263","263","263","4847.064453125","4847.064453125","4847.064453125","","","","","","","","","","","","","272","272","272","3962.513916015625","3962.513916015625","3962.513916015625","","","","","","","272","272","272","4240.57666015625","4240.57666015625","4240.57666015625","272","272","272","4240.57666015625","4240.57666015625","4240.57666015625"
