"Relative Time (Process)","SAC_HopperEnv_sweep_4 - _step","SAC_HopperEnv_sweep_4 - _step__MIN","SAC_HopperEnv_sweep_4 - _step__MAX","SAC_HopperEnv_sweep_4 - rewards/time","SAC_HopperEnv_sweep_4 - rewards/time__MIN","SAC_HopperEnv_sweep_4 - rewards/time__MAX","SAC_HopperEnv_sweep_3 - _step","SAC_HopperEnv_sweep_3 - _step__MIN","SAC_HopperEnv_sweep_3 - _step__MAX","SAC_HopperEnv_sweep_3 - rewards/time","SAC_HopperEnv_sweep_3 - rewards/time__MIN","SAC_HopperEnv_sweep_3 - rewards/time__MAX","SAC_HopperEnv_sweep_2 - _step","SAC_HopperEnv_sweep_2 - _step__MIN","SAC_HopperEnv_sweep_2 - _step__MAX","SAC_HopperEnv_sweep_2 - rewards/time","SAC_HopperEnv_sweep_2 - rewards/time__MIN","SAC_HopperEnv_sweep_2 - rewards/time__MAX","SAC_HopperEnv_sweep_1 - _step","SAC_HopperEnv_sweep_1 - _step__MIN","SAC_HopperEnv_sweep_1 - _step__MAX","SAC_HopperEnv_sweep_1 - rewards/time","SAC_HopperEnv_sweep_1 - rewards/time__MIN","SAC_HopperEnv_sweep_1 - rewards/time__MAX","SAC_HopperEnv_sweep_0 - _step","SAC_HopperEnv_sweep_0 - _step__MIN","SAC_HopperEnv_sweep_0 - _step__MAX","SAC_HopperEnv_sweep_0 - rewards/time","SAC_HopperEnv_sweep_0 - rewards/time__MIN","SAC_HopperEnv_sweep_0 - rewards/time__MAX","SAC_HopperEnv_sweep_9 - _step","SAC_HopperEnv_sweep_9 - _step__MIN","SAC_HopperEnv_sweep_9 - _step__MAX","SAC_HopperEnv_sweep_9 - rewards/time","SAC_HopperEnv_sweep_9 - rewards/time__MIN","SAC_HopperEnv_sweep_9 - rewards/time__MAX","SAC_HopperEnv_sweep_8 - _step","SAC_HopperEnv_sweep_8 - _step__MIN","SAC_HopperEnv_sweep_8 - _step__MAX","SAC_HopperEnv_sweep_8 - rewards/time","SAC_HopperEnv_sweep_8 - rewards/time__MIN","SAC_HopperEnv_sweep_8 - rewards/time__MAX","SAC_HopperEnv_sweep_7 - _step","SAC_HopperEnv_sweep_7 - _step__MIN","SAC_HopperEnv_sweep_7 - _step__MAX","SAC_HopperEnv_sweep_7 - rewards/time","SAC_HopperEnv_sweep_7 - rewards/time__MIN","SAC_HopperEnv_sweep_7 - rewards/time__MAX","SAC_HopperEnv_sweep_6 - _step","SAC_HopperEnv_sweep_6 - _step__MIN","SAC_HopperEnv_sweep_6 - _step__MAX","SAC_HopperEnv_sweep_6 - rewards/time","SAC_HopperEnv_sweep_6 - rewards/time__MIN","SAC_HopperEnv_sweep_6 - rewards/time__MAX","SAC_HopperEnv_sweep_5 - _step","SAC_HopperEnv_sweep_5 - _step__MIN","SAC_HopperEnv_sweep_5 - _step__MAX","SAC_HopperEnv_sweep_5 - rewards/time","SAC_HopperEnv_sweep_5 - rewards/time__MIN","SAC_HopperEnv_sweep_5 - rewards/time__MAX"
"1374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","528","528","528","3620.314208984375","3620.314208984375","3620.314208984375","","","","","","","524","524","524","3109.432373046875","3109.432373046875","3109.432373046875","","","","","","","531","531","531","3660.20703125","3660.20703125","3660.20703125"
"1375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","516","516","516","3863.284912109375","3863.284912109375","3863.284912109375","","","","","",""
"1376","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","529","529","529","3622.458740234375","3622.458740234375","3622.458740234375","536","536","536","3879.49169921875","3879.49169921875","3879.49169921875","","","","","","","","","","","","","532","532","532","3675.239990234375","3675.239990234375","3675.239990234375"
"1377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","525","525","525","3102.17138671875","3102.17138671875","3102.17138671875","","","","","","","","","","","",""
"1378","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","537","537","537","3882.0234375","3882.0234375","3882.0234375","","","","","","","517","517","517","3865.499267578125","3865.499267578125","3865.499267578125","","","","","",""
"1379","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530","530","530","3624.731201171875","3624.731201171875","3624.731201171875","","","","","","","526","526","526","3106.03271484375","3106.03271484375","3106.03271484375","","","","","","","533","533","533","3682.888427734375","3682.888427734375","3682.888427734375"
"1380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518","518","518","3868.748046875","3868.748046875","3868.748046875","","","","","",""
"1381","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","538","538","538","3880.74560546875","3880.74560546875","3880.74560546875","","","","","","","","","","","","","","","","","",""
"1382","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","531","531","531","3625.39013671875","3625.39013671875","3625.39013671875","","","","","","","527","527","527","3099.328125","3099.328125","3099.328125","","","","","","","534","534","534","3690.39013671875","3690.39013671875","3690.39013671875"
"1383","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539","539","539","3881.815185546875","3881.815185546875","3881.815185546875","","","","","","","519","519","519","3869.60107421875","3869.60107421875","3869.60107421875","","","","","",""
"1384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","532","532","532","3629.255126953125","3629.255126953125","3629.255126953125","","","","","","","","","","","","","","","","","","","535","535","535","3672.63232421875","3672.63232421875","3672.63232421875"
"1385","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","528","528","528","3122.771728515625","3122.771728515625","3122.771728515625","","","","","","","","","","","",""
"1386","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","540","540","540","3883.962646484375","3883.962646484375","3883.962646484375","","","","","","","520","520","520","3872.83251953125","3872.83251953125","3872.83251953125","","","","","",""
"1387","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","533","533","533","3639.172119140625","3639.172119140625","3639.172119140625","","","","","","","529","529","529","3149.93310546875","3149.93310546875","3149.93310546875","","","","","","","536","536","536","3617.31591796875","3617.31591796875","3617.31591796875"
"1388","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","521","521","521","3877.951416015625","3877.951416015625","3877.951416015625","","","","","",""
"1389","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","541","541","541","3884.836669921875","3884.836669921875","3884.836669921875","","","","","","","","","","","","","537","537","537","3600.7431640625","3600.7431640625","3600.7431640625"
"1390","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","534","534","534","3647.04150390625","3647.04150390625","3647.04150390625","","","","","","","530","530","530","3163.527099609375","3163.527099609375","3163.527099609375","","","","","","","","","","","",""
"1391","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","542","542","542","3887.365966796875","3887.365966796875","3887.365966796875","","","","","","","522","522","522","3880.904541015625","3880.904541015625","3880.904541015625","","","","","",""
"1392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","535","535","535","3654.43798828125","3654.43798828125","3654.43798828125","","","","","","","531","531","531","3171.403564453125","3171.403564453125","3171.403564453125","","","","","","","538","538","538","3595.736572265625","3595.736572265625","3595.736572265625"
"1394","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","543","543","543","3890.420654296875","3890.420654296875","3890.420654296875","","","","","","","523","523","523","3882.211181640625","3882.211181640625","3882.211181640625","","","","","",""
"1395","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","536","536","536","3656.411376953125","3656.411376953125","3656.411376953125","","","","","","","532","532","532","3172.779052734375","3172.779052734375","3172.779052734375","","","","","","","539","539","539","3605.91357421875","3605.91357421875","3605.91357421875"
"1396","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","544","544","544","3896.752685546875","3896.752685546875","3896.752685546875","","","","","","","524","524","524","3886.049072265625","3886.049072265625","3886.049072265625","","","","","",""
"1397","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","537","537","537","3657.9873046875","3657.9873046875","3657.9873046875","","","","","","","","","","","","","","","","","","","540","540","540","3591.0078125","3591.0078125","3591.0078125"
"1398","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","533","533","533","3182.2255859375","3182.2255859375","3182.2255859375","","","","","","","","","","","",""
"1399","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545","545","545","3902.4130859375","3902.4130859375","3902.4130859375","","","","","","","525","525","525","3888.921875","3888.921875","3888.921875","","","","","",""
"1400","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","538","538","538","3660.44091796875","3660.44091796875","3660.44091796875","","","","","","","534","534","534","3192.028564453125","3192.028564453125","3192.028564453125","","","","","","","541","541","541","3602.320556640625","3602.320556640625","3602.320556640625"
"1401","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","546","546","546","3904.683349609375","3904.683349609375","3904.683349609375","","","","","","","526","526","526","3890.35107421875","3890.35107421875","3890.35107421875","","","","","",""
"1402","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","542","542","542","3619.013671875","3619.013671875","3619.013671875"
"1403","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539","539","539","3661.1650390625","3661.1650390625","3661.1650390625","","","","","","","535","535","535","3197.40966796875","3197.40966796875","3197.40966796875","","","","","","","","","","","",""
"1404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547","547","547","3905.924072265625","3905.924072265625","3905.924072265625","","","","","","","527","527","527","3892.61767578125","3892.61767578125","3892.61767578125","","","","","",""
"1405","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","540","540","540","3666.44482421875","3666.44482421875","3666.44482421875","","","","","","","536","536","536","3209.966796875","3209.966796875","3209.966796875","","","","","","","543","543","543","3635.38525390625","3635.38525390625","3635.38525390625"
"1407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","548","548","548","3912.431884765625","3912.431884765625","3912.431884765625","","","","","","","528","528","528","3894.550537109375","3894.550537109375","3894.550537109375","","","","","",""
"1408","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","541","541","541","3678.662353515625","3678.662353515625","3678.662353515625","","","","","","","537","537","537","3221.37109375","3221.37109375","3221.37109375","","","","","","","544","544","544","3611.76123046875","3611.76123046875","3611.76123046875"
"1409","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","549","549","549","3916.26953125","3916.26953125","3916.26953125","","","","","","","529","529","529","3899.875732421875","3899.875732421875","3899.875732421875","","","","","",""
"1410","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","542","542","542","3689.205810546875","3689.205810546875","3689.205810546875","","","","","","","","","","","","","","","","","","","545","545","545","3632.2109375","3632.2109375","3632.2109375"
"1411","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","538","538","538","3225.74658203125","3225.74658203125","3225.74658203125","","","","","","","","","","","",""
"1412","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","550","550","3918.779052734375","3918.779052734375","3918.779052734375","","","","","","","530","530","530","3901.953857421875","3901.953857421875","3901.953857421875","","","","","",""
"1413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","543","543","543","3695.695556640625","3695.695556640625","3695.695556640625","","","","","","","539","539","539","3228.2587890625","3228.2587890625","3228.2587890625","","","","","","","546","546","546","3614.29052734375","3614.29052734375","3614.29052734375"
"1414","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","551","551","551","3926.4638671875","3926.4638671875","3926.4638671875","","","","","","","","","","","","","","","","","",""
"1415","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","531","531","531","3902.463623046875","3902.463623046875","3902.463623046875","547","547","547","3621.497314453125","3621.497314453125","3621.497314453125"
"1416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","544","544","544","3697.9716796875","3697.9716796875","3697.9716796875","","","","","","","540","540","540","3230.16796875","3230.16796875","3230.16796875","","","","","","","","","","","",""
"1417","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","552","552","552","3936.26513671875","3936.26513671875","3936.26513671875","","","","","","","532","532","532","3903.23388671875","3903.23388671875","3903.23388671875","","","","","",""
"1418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545","545","545","3699.841552734375","3699.841552734375","3699.841552734375","","","","","","","","","","","","","","","","","","","548","548","548","3637.059326171875","3637.059326171875","3637.059326171875"
"1419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","553","553","553","3940.82421875","3940.82421875","3940.82421875","541","541","541","3232.250244140625","3232.250244140625","3232.250244140625","","","","","","","","","","","",""
"1420","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","533","533","533","3904.22900390625","3904.22900390625","3904.22900390625","549","549","549","3648.7734375","3648.7734375","3648.7734375"
"1421","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","546","546","546","3702.63232421875","3702.63232421875","3702.63232421875","","","","","","","542","542","542","3234.83154296875","3234.83154296875","3234.83154296875","","","","","","","","","","","",""
"1422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554","554","554","3946.05126953125","3946.05126953125","3946.05126953125","","","","","","","","","","","","","","","","","",""
"1423","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547","547","547","3703.680908203125","3703.680908203125","3703.680908203125","","","","","","","","","","","","","534","534","534","3904.943359375","3904.943359375","3904.943359375","550","550","550","3661.452392578125","3661.452392578125","3661.452392578125"
"1424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","555","555","555","3949.169921875","3949.169921875","3949.169921875","543","543","543","3234.6865234375","3234.6865234375","3234.6865234375","","","","","","","","","","","",""
"1425","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","535","535","535","3906.857177734375","3906.857177734375","3906.857177734375","","","","","",""
"1426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","548","548","548","3708.866455078125","3708.866455078125","3708.866455078125","","","","","","","544","544","544","3233.796142578125","3233.796142578125","3233.796142578125","","","","","","","551","551","551","3645.780517578125","3645.780517578125","3645.780517578125"
"1427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","556","556","556","3955.024169921875","3955.024169921875","3955.024169921875","","","","","","","","","","","","","","","","","",""
"1428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","536","536","536","3909.399658203125","3909.399658203125","3909.399658203125","552","552","552","3657.069091796875","3657.069091796875","3657.069091796875"
"1429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","549","549","549","3716.41552734375","3716.41552734375","3716.41552734375","557","557","557","3960.9130859375","3960.9130859375","3960.9130859375","545","545","545","3232.633056640625","3232.633056640625","3232.633056640625","","","","","","","","","","","",""
"1430","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","537","537","537","3911.736083984375","3911.736083984375","3911.736083984375","","","","","",""
"1431","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","550","550","3722.312744140625","3722.312744140625","3722.312744140625","","","","","","","546","546","546","3231.70458984375","3231.70458984375","3231.70458984375","","","","","","","553","553","553","3672.44140625","3672.44140625","3672.44140625"
"1432","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558","558","558","3967.497314453125","3967.497314453125","3967.497314453125","","","","","","","","","","","","","","","","","",""
"1433","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","538","538","538","3913.322021484375","3913.322021484375","3913.322021484375","554","554","554","3686.4326171875","3686.4326171875","3686.4326171875"
"1434","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","551","551","551","3723.634033203125","3723.634033203125","3723.634033203125","","","","","","","547","547","547","3230.017822265625","3230.017822265625","3230.017822265625","","","","","","","","","","","",""
"1435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559","559","559","3975.552490234375","3975.552490234375","3975.552490234375","","","","","","","","","","","","","","","","","",""
"1436","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","552","552","552","3724.13427734375","3724.13427734375","3724.13427734375","","","","","","","","","","","","","539","539","539","3878.98486328125","3878.98486328125","3878.98486328125","555","555","555","3691.365966796875","3691.365966796875","3691.365966796875"
"1437","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","560","560","3984.55517578125","3984.55517578125","3984.55517578125","548","548","548","3228.779541015625","3228.779541015625","3228.779541015625","","","","","","","","","","","",""
"1438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","540","540","540","3885.26611328125","3885.26611328125","3885.26611328125","556","556","556","3706.142822265625","3706.142822265625","3706.142822265625"
"1439","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","553","553","553","3724.448974609375","3724.448974609375","3724.448974609375","","","","","","","549","549","549","3223.76953125","3223.76953125","3223.76953125","","","","","","","","","","","",""
"1440","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","561","561","561","3990.35107421875","3990.35107421875","3990.35107421875","","","","","","","","","","","","","","","","","",""
"1441","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","541","541","541","3889.14111328125","3889.14111328125","3889.14111328125","557","557","557","3712.4248046875","3712.4248046875","3712.4248046875"
"1442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554","554","554","3724.315185546875","3724.315185546875","3724.315185546875","562","562","562","3995.1923828125","3995.1923828125","3995.1923828125","550","550","550","3220.576416015625","3220.576416015625","3220.576416015625","","","","","","","","","","","",""
"1443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","542","542","542","3890.568359375","3890.568359375","3890.568359375","","","","","",""
"1444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","555","555","555","3724.01708984375","3724.01708984375","3724.01708984375","","","","","","","551","551","551","3216.1240234375","3216.1240234375","3216.1240234375","","","","","","","558","558","558","3721.682373046875","3721.682373046875","3721.682373046875"
"1445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563","563","563","3998.884033203125","3998.884033203125","3998.884033203125","","","","","","","","","","","","","","","","","",""
"1446","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","543","543","543","3895.350341796875","3895.350341796875","3895.350341796875","559","559","559","3740.742431640625","3740.742431640625","3740.742431640625"
"1447","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","556","556","556","3722.122802734375","3722.122802734375","3722.122802734375","","","","","","","552","552","552","3208.65966796875","3208.65966796875","3208.65966796875","","","","","","","","","","","",""
"1448","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","564","564","564","4005.76171875","4005.76171875","4005.76171875","","","","","","","","","","","","","","","","","",""
"1449","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","544","544","544","3898.6123046875","3898.6123046875","3898.6123046875","560","560","560","3746.325927734375","3746.325927734375","3746.325927734375"
"1450","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557","557","557","3720.607177734375","3720.607177734375","3720.607177734375","565","565","565","4011.8671875","4011.8671875","4011.8671875","553","553","553","3205.180908203125","3205.180908203125","3205.180908203125","","","","","","","","","","","",""
"1451","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","545","545","545","3901.0029296875","3901.0029296875","3901.0029296875","561","561","561","3763.047119140625","3763.047119140625","3763.047119140625"
"1452","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558","558","558","3718.88525390625","3718.88525390625","3718.88525390625","","","","","","","554","554","554","3203.47998046875","3203.47998046875","3203.47998046875","","","","","","","","","","","",""
"1453","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566","566","566","4017.797119140625","4017.797119140625","4017.797119140625","","","","","","","","","","","","","","","","","",""
"1454","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","546","546","546","3903.10546875","3903.10546875","3903.10546875","562","562","562","3774.48779296875","3774.48779296875","3774.48779296875"
"1455","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559","559","559","3718.1767578125","3718.1767578125","3718.1767578125","567","567","567","4025.35546875","4025.35546875","4025.35546875","555","555","555","3202.78173828125","3202.78173828125","3202.78173828125","","","","","","","","","","","",""
"1457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","547","547","547","3907.540283203125","3907.540283203125","3907.540283203125","563","563","563","3786.436279296875","3786.436279296875","3786.436279296875"
"1458","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","560","560","560","3717.874267578125","3717.874267578125","3717.874267578125","568","568","568","4033.6552734375","4033.6552734375","4033.6552734375","556","556","556","3202.885498046875","3202.885498046875","3202.885498046875","","","","","","","","","","","",""
"1459","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","548","548","548","3910.69189453125","3910.69189453125","3910.69189453125","","","","","",""
"1460","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","569","569","569","4039.0283203125","4039.0283203125","4039.0283203125","557","557","557","3202.5986328125","3202.5986328125","3202.5986328125","","","","","","","564","564","564","3794.820556640625","3794.820556640625","3794.820556640625"
"1461","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","561","561","561","3717.9111328125","3717.9111328125","3717.9111328125","","","","","","","","","","","","","","","","","","","","","","","",""
"1462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","549","549","549","3913.9716796875","3913.9716796875","3913.9716796875","","","","","",""
"1463","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562","562","562","3717.844970703125","3717.844970703125","3717.844970703125","570","570","570","4041.843017578125","4041.843017578125","4041.843017578125","558","558","558","3202.52783203125","3202.52783203125","3202.52783203125","","","","","","","565","565","565","3800.255859375","3800.255859375","3800.255859375"
"1465","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559","559","559","3204.064697265625","3204.064697265625","3204.064697265625","550","550","550","3914.495849609375","3914.495849609375","3914.495849609375","","","","","",""
"1466","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563","563","563","3717.961669921875","3717.961669921875","3717.961669921875","571","571","571","4045.474853515625","4045.474853515625","4045.474853515625","","","","","","","","","","","","","566","566","566","3814.864990234375","3814.864990234375","3814.864990234375"
"1467","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","551","551","551","3917.96875","3917.96875","3917.96875","","","","","",""
"1468","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","572","572","572","4049.3544921875","4049.3544921875","4049.3544921875","560","560","560","3207.92236328125","3207.92236328125","3207.92236328125","","","","","","","","","","","",""
"1469","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","564","564","564","3719.786376953125","3719.786376953125","3719.786376953125","","","","","","","","","","","","","","","","","","","","","","","",""
"1470","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","552","552","552","3920.85400390625","3920.85400390625","3920.85400390625","567","567","567","3829.909912109375","3829.909912109375","3829.909912109375"
"1471","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","565","565","565","3722.570556640625","3722.570556640625","3722.570556640625","573","573","573","4051.805419921875","4051.805419921875","4051.805419921875","561","561","561","3211.003173828125","3211.003173828125","3211.003173828125","","","","","","","","","","","",""
"1472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","553","553","553","3921.42431640625","3921.42431640625","3921.42431640625","","","","","",""
"1473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","574","574","574","4055.990478515625","4055.990478515625","4055.990478515625","562","562","562","3213.674560546875","3213.674560546875","3213.674560546875","","","","","","","568","568","568","3836.421142578125","3836.421142578125","3836.421142578125"
"1474","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566","566","566","3691.30419921875","3691.30419921875","3691.30419921875","","","","","","","","","","","","","","","","","","","","","","","",""
"1475","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","554","554","554","3921.9482421875","3921.9482421875","3921.9482421875","","","","","",""
"1476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","567","567","567","3660.89501953125","3660.89501953125","3660.89501953125","575","575","575","4063.7783203125","4063.7783203125","4063.7783203125","563","563","563","3214.399658203125","3214.399658203125","3214.399658203125","","","","","","","569","569","569","3850.82958984375","3850.82958984375","3850.82958984375"
"1478","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","576","576","576","4069.94873046875","4069.94873046875","4069.94873046875","564","564","564","3219.8125","3219.8125","3219.8125","555","555","555","3923.63232421875","3923.63232421875","3923.63232421875","","","","","",""
"1479","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","568","568","568","3665.173583984375","3665.173583984375","3665.173583984375","","","","","","","","","","","","","","","","","","","570","570","570","3857.637451171875","3857.637451171875","3857.637451171875"
"1480","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","556","556","556","3925.175537109375","3925.175537109375","3925.175537109375","","","","","",""
"1481","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","577","577","577","4074.47021484375","4074.47021484375","4074.47021484375","565","565","565","3225.0322265625","3225.0322265625","3225.0322265625","","","","","","","571","571","571","3871.07177734375","3871.07177734375","3871.07177734375"
"1482","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","569","569","569","3668.00146484375","3668.00146484375","3668.00146484375","","","","","","","","","","","","","","","","","","","","","","","",""
"1483","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","566","566","566","3232.038330078125","3232.038330078125","3232.038330078125","557","557","557","3925.454833984375","3925.454833984375","3925.454833984375","","","","","",""
"1484","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","570","570","570","3670.393310546875","3670.393310546875","3670.393310546875","578","578","578","4076.37890625","4076.37890625","4076.37890625","","","","","","","","","","","","","572","572","572","3877.114990234375","3877.114990234375","3877.114990234375"
"1486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","579","579","579","4079.49267578125","4079.49267578125","4079.49267578125","567","567","567","3242.28564453125","3242.28564453125","3242.28564453125","558","558","558","3925.269287109375","3925.269287109375","3925.269287109375","","","","","",""
"1487","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","571","571","571","3678.04736328125","3678.04736328125","3678.04736328125","","","","","","","","","","","","","","","","","","","573","573","573","3882.73876953125","3882.73876953125","3882.73876953125"
"1488","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","559","559","559","3924.626708984375","3924.626708984375","3924.626708984375","","","","","",""
"1489","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","572","572","572","3699.6142578125","3699.6142578125","3699.6142578125","580","580","580","4082.21142578125","4082.21142578125","4082.21142578125","568","568","568","3255.638916015625","3255.638916015625","3255.638916015625","","","","","","","574","574","574","3891.17919921875","3891.17919921875","3891.17919921875"
